Cód.Item;Descrição;Novo Código de fábrica;Novo Marca;Desc. Marca;Novo Fornecedor;Desc. Fornecedor;Novo Linha/Grupo;Desc. Linha/Grupo
86170;CR CORALAR ACRILICO MAIS RESISTENTE BRANCO GELO GL 3,6L;5207259;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86168;CR CORALAR ACRILICO MAIS RESISTENTE BRANCO GELO LATA 18L;5207257;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86175;CR CORALAR ACRILICO MAIS RESISTENTE BRANCO GL 3,6L;5207322;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86174;CR CORALAR ACRILICO MAIS RESISTENTE BRANCO LATA 18L;5207321;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86172;CR CORALAR ACRILICO MAIS RESISTENTE MARFIM LATA 18L;5207305;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85823;CR CORALAR ACRILICO MANGABA LATA 18L;5202337;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86244;CR CORALAR DUO FO VERDE LIMAO 3.6L;5271597;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86250;CR CORALAR DUO FO VERDE VALE 3.6L;5272007;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86034;CR CORALAR ESMALTE ACETINADO BRANCO 3,6L;5202851;800073;CORAL;34;AKZO NOBEL LTDA;40001;ESMALTES
86035;CR CORALAR ESMALTE ACETINADO BRANCO 900ML;5202852;800073;CORAL;34;AKZO NOBEL LTDA;40001;ESMALTES
86020;CR CORALAR ESMALTE BRILHO AMARELO 3,6L;5202831;800073;CORAL;34;AKZO NOBEL LTDA;40001;ESMALTES
86021;CR CORALAR ESMALTE BRILHO AMARELO 900ML;5202832;800073;CORAL;34;AKZO NOBEL LTDA;40001;ESMALTES
86011;CR CORALAR ESMALTE BRILHO AZUL DEL REY 3,6L;5202819;800073;CORAL;34;AKZO NOBEL LTDA;40001;ESMALTES
86012;CR CORALAR ESMALTE BRILHO AZUL DEL REY 900ML;5202820;800073;CORAL;34;AKZO NOBEL LTDA;40001;ESMALTES
86013;CR CORALAR ESMALTE BRILHO AZUL FRANCA 3,6L;5202823;800073;CORAL;34;AKZO NOBEL LTDA;40001;ESMALTES
86014;CR CORALAR ESMALTE BRILHO AZUL FRANCA 900ML;5202824;800073;CORAL;34;AKZO NOBEL LTDA;40001;ESMALTES
86009;CR CORALAR ESMALTE BRILHO AZUL MAR 3,6L;5202817;800073;CORAL;34;AKZO NOBEL LTDA;40001;ESMALTES
